features_sorted,feature_names_EWRE
1966,facet
5903,vent
636,breach
1369,decompose
3993,pivot
5011,slave
3561,negotiate
2507,hefty
5693,trick
5774,underperformed
2220,froze
1924,expand
2578,hopelessness
1838,error
6137,wrist
4649,rosy
3157,loathsome
5588,tip
3904,pepper
4060,pop
4392,recruit
5207,started
3377,microsoft
3632,notify
5776,understandably
76,addicted
891,chilly
5125,spanish
3193,lost
971,closure
6155,yogurt
3129,limb
2564,homogeneous
814,caucasian
5446,talked
1146,contagious
5406,swearing
1485,differences
667,britain
2937,joke
736,cake
4552,respective
312,ash
361,audio
5831,unproductive
5316,subsequent
2351,gracious
4446,rejoice
4770,sci
3357,menstrual
2557,homeless
760,canola
5080,sofas
2309,gig
2856,interrupted
1393,deflate
5385,surprising
4423,refugee
5019,slept
5256,storage
921,cider
671,broccoli
1722,effective
2033,fend
2470,hated
5545,tho
2971,key
1758,embarrassed
2090,flare
4063,porridge
2168,forward
5340,sugar
5229,stem
1684,eager
3699,oil
3758,outrage
119,aggression
3791,overwhelms
4049,politely
5476,ted
1558,dispiriting
4951,sid
2777,infringement
5268,stranger
4854,serena
15,absorb
2897,isi
4304,raise
3995,pizza
451,basket
5992,wardrobe
4186,professionally
1938,explanation
3937,petrol
1932,experienced
5344,suicidal
2650,identical
4347,realistic
903,chop
3891,pedestal
1652,dressed
6122,worrying
355,attend
5278,stressor
3450,moisturise
4978,sing
755,canal
3899,pencil
3971,piercing
4008,planner
3381,middle
2948,juice
3300,mate
899,chocolate
5825,unnecessary
3934,pessimistic
1322,damage
1989,fan
6096,witness
357,attitude
1051,compel
5611,tommy
5899,veggie
3901,pennington
149,alexandra
6046,west
4753,scarf
4572,retail
5452,target
2986,kindle
3864,pastoral
3555,needy
4239,pt
3588,next
2206,friday
5050,smoothie
2530,highly
862,chase
5309,subject
3656,oat
2291,general
3640,nowadays
2183,frame
3653,nutcase
1830,equate
1258,crib
5982,wallets
5072,socializing
4970,simpler
1730,egos
1734,elaborate
4612,rigmarole
158,allied
2137,fondly
1503,diplomatic
2636,hypochondriac
4223,protocol
5805,uninviting
5301,stuffy
1772,empathize
1345,deadly
4331,rationality
